text,entity,sentiment,konu,severity,bilet,musteri_hizmetleri,odeme,uygulama,passolig,passolig kart,diger,aksiyon,label
passodan aldigim bilet konserlerini zannettim fakat tarihindeymis tarihte asker olacagim den dolayi biletlerin iptal edilip iade edilmesini talep ediyorum bilet alinmistir referans no biletler iptal edildi hala para iadesi hesabima yansimadi,passo,olumsuz,odeme,2,1,0,1,0,0,0,0,1,9
passo dan agustos tarihindeki bodrum antik tiyatrodaki tan tasci konseri icin adet bilet aldim fakat aile buyugumuz anneannemiz yogun bakima alindigi icin konsere gidemeyecegiz musteri temsilcisi iletisim kurduk mail atmamiz gerektigini soyledi mail attik ancak etkinlik kurallari ge,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo dan aldigim konser biletlerimi iade etmek istiyorum lakin buna izin verilmiyor agustos ta olacak konser icin gun varken iade edememem can sikici bununla ilgili passo nun mail adresine mailde attim geri donus alamadim henuz biletlerimi iade etmek istiyorum,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo dan agustos cumartesi harbiye cemil topuzlu acikhava tiyatrosu konserine adet aldim fakat isim geregi gitmem gereken bir durum henuz belli oldu ayni gune denk geliyor musteri temsilcisi iletisim kurdum etkinlik kurallari geregi biletin iptal edilemeyecegini soyledile,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo dan agustos cumartesi harbiye cemil topuzlu acikhava tiyatrosu konserine bilet aldim fakat isim geregi gitmem gereken bir durum henuz belli oldu ayni gune denk geliyor musteri temsilcisi iletisim kurdum etkinlik kurallari geregi biletin iptal edilemeyecegini soylediler,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
paso nun musteri hizmetlerini defalarca aramama ragmen herhangi bir donus alamadim bugun konseri vardi iptal oldu bununla ilgili tarafima bir mesaj geldi bir iade ucreti geldi konuyla ilgili bilgi almak istiyorum bilgi alabilecegim kimse yok acil donus bekliyorum,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,1,0,0,0,0,1,29
temmuz carsamba yi persembe ye baglayan gece passolig uzerinden bryan adams konser bileti satin almak istedim kisi yapiyor kart bilgilerini giriyorum bileti satin al diyorum sms gelen sifreyi giriyorum sonrasinda bir hata olustu diyor bileti alamiyorum bunu pes pe,passo; passolig,olumsuz,uygulama,2,1,0,0,1,0,0,0,1,10
passo firmasindan almis oldugum konser biletindeki yerimiz dusuk bir kategori onayimiz alinmadan degistirildi bloktan bloga kor noktaya yapici bir cozum sunulmadi bizim yerlerimiz alinip yuksek fiyattan baskalarina satisa acildi,passo,olumsuz,diger,2,1,0,0,0,0,0,1,1,13
kurumsal bir firma icin toplu bilet alimi yapiyorum farkli firmalardan farkli konserler icin sistemleri parayi ver sonrasi umurlarinda degil defalarca aramama mail atmama ragmen kimsenin dondugu yok istedigim sadece fatura nasil bir sistemleri varsa hic memnun kalmadim,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo uzerinden satin aldigim bileti uzerinden saat gecmeden iptal etmek istiyorum ancak iptal edilemeyecegi soyleniyor sadece ayni etkinligin farkli bir tarihine degisim yapilabilirmis tatil icin kisa sureli geldigim yerde haftalar sonra olacak olan baska bir etkinlige gelemeyecegim icin iptal,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo adli etkinlik biletleri satis firmasinin instagram sayfasinda duzenledikleri temmuz tarihli konser bileti cekilisinden kazandigimi ilan ettikleri konser biletini iletmeyerek beni oyalayip kandirmalari donus yapmamalari buyuk terbiyesizliktir,passo,olumsuz,diger,2,1,1,0,0,0,0,0,1,8
temmuz konseri icin tane bilet aldik fakat saglik sorunlari nedeniyle katilamayacagimizi musteri temsilcisine soyledik saglik raporu alip bize mail atin dediler yaptik fakat yine sorunumuz cozulmedi bir asla passo yu tercih etmem,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,0,0,0,0,0,1,8
temmuz gunu altinoluk amfi tiyatro dolu kadehi ters tut grubu icin bilet almak istiyordum fakat grup amfi tiyatro iki kere geliyormus bileti aldiktan sonra yanlis tarihe aldigimi fark ettim yanlis aldigim tarihte burada olmayacagim geri gelme sansim yok kac kere musteri hizmetlerin,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo dan biletime degisiklik aciga alinma alinma talep ettim ancak hic yardimci olmadilar ben para iadesi talep etmedim yine ayni siteden hatta uzerine para odeyerek bilet alabilecegimi tarihin uymadigini asagidaki aciklamamla ilettim ay oncesinden olan durumumu olumsuz yanitliyorlar,passo,olumsuz,cagri merkezi yetkinlik,1,0,1,0,0,0,0,0,1,2
sayin yetkili ben emre temmuz sali tarihinde sizden aldigim bilet icin odedigim hizmet ucreti hakkinda bir sikayetim var soz konusu bilet icin odedigim hizmet ucreti olan tl adet basina fiyatlandirmanin dogru olmadigini ilgililerinizin kontrolunu saglamanizi tarafima adet bilette ci,passo,olumsuz,diger,1,0,1,0,0,0,0,1,1,18
passo uygulamasindan kisilik bilet aldim tan tasci konseri icin isim geregi gidemedigim icin iptal edemiyorum magduriyet disinda hicbir cozum yaratilmiyor musteri temsilcisine zar zor ulasabiliyorum cozumu icin hicbir sekilde yardimci olmadilar,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,0,0,0,0,0,1,8
passo dan eylul cumartesi gunune sahne onu biletim var tarihi eylule degistirmek istedim tarih degisikligi yapilabildigi yaziyor sistemlerinde bem mail attim degisiklik talebi icin fakat satis son islemdir mail attilar bilet tarihimi degistirmek istiyorum yardimci olun lutfen,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo dan khatia bunutishvili nin haziran te verecegi konser icin ref no lu bilet aldim ancak konserden bir gun once konserin haziran ertelendigi tarih degisikligi nedeniyle biletlerini iade etmek isteyenlerin haziran kadar passo hesaplarindan etkinlik biletlerim,passo,olumsuz,diger,1,1,0,0,1,0,0,0,1,10
passodan teoman konserine bilet aldim marmaris temmuz isle alakali bir durum oldugundan dolayi iptal etmek istiyorum internetten aldim azindan bir arkadasima mail yoluyla gondermek istiyorum girecek eger iptal olmazsa bunun hakkinda hicbir bilgi yok mail attim passoya geri donen,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
ref bodrum tarih tarihli konserine kisilik bilet aldim ayni siradan aldigimi dusunurken farkli siralardan verilmis biletin iptalini talep etmeme ragmen kabul edilmedi etkinlige yaklasik ay uzun bir sure varken tum yerlerde iptal iade cayma hakki,passo,olumsuz,genel,1,1,1,0,0,0,0,0,1,8
merhabalar passo uygulamasindan tarihine marmaris amfi tiyatroda tan tasci konserine bilet aldim fakat iade yapilmayacagi bilgisi mevcut esimin isi geregi yurt disina cikmak zorunda kalacagiz bilet benim adima baska birine satamiyorum yazik verilen paralar mevla deg,passo,olumsuz,genel,2,1,0,0,0,0,0,1,1,13
passo uzerinden haziran tarihindeki zara konserine iki bilet aldim islerim nedeniyle konsere gitmem mumkun degil iade icin mail attim kesinlikle iade edemeyiz donus yapmislar boyle bir sacmalik var organizasyon iade ederken passo etmiyor,passo,olumsuz,genel,2,1,0,0,0,0,0,1,1,13
passo etkinlik bilet fiyatini gun once yari yariya dusurup alinan yuksek bilet fiyat satislarina indirimi uygulamamasi passo temmuz antalya acik hava tiyatrosu konseri icin aldigim biletlerin fiyatini kisibasi tl den tl ye dusurdu musteri hizmetleri iptal iade,passo,olumsuz,genel,2,1,1,0,1,0,0,0,1,30
tarihinde dun tatil programi unutularak satin alinmis tarihli harbiye cemil topuzlu acik hava tiyatrosu ndaki kisilik etkinlik biletimizi kullanamayacagiz tatil programimiz nedeniyle kullanamayacagimiz biletlerin iptal iadesini numarali destek hattinizd,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo uygulamasindan manga konser bileti alimi gerceklestirdim ancak ilerleyen gunlerde tarihte isim dolayisiyla sehir disinda olacagimi ogrendim iade ricasinda bulundugum maile bunun mumkun olmadigini belirten bir geri donus yapildi konsere hafta var anlayis destek bekliyorum,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
temmuz tarihli vapurda caz etkinligi icin passo sitesinden eczacibasi genc bileti almak istiyorum defalarca denememe ragmen uygun koltuk bulunamadi uyarisi aliyorum aslinda biletin tukendigine dair bir on uyari yok diger iksv caz konserlerinden bazilarinda eczacibasi genc bileti,passo,olumsuz,diger,1,1,0,0,0,0,0,0,1,1
merhabalar adresine gonderdigim maile donus yapilmadi sadece aldigim biletteki koltuk numaralarini degistirmek istemistim temmuzda konser var bir an once donus yapilmasini istiyorum konser biletini annem icin almistim cok sevdigi bir sanatci geliyor magduriyetimin hemen co,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,0,0,0,0,0,1,8
passo dan bilet aldim ayni gun iptal etmek istedim iptal iade hakkim olmadigi soylendi seyin iade edilebildigi gunumuzde bileti iptal edemiyorum tuketici mahkemesi cimer vs gerekiyorsa seyi yapip isin pesini birakmayacagim,passo,olumsuz,genel,2,1,0,0,0,0,0,0,1,1
passo uzerinden haziran tarihindeki oscar and the wolf konseri icin satin aldigim bileti haftalik riskli bir hamilelik gecirdigimden riskli hamileligimi yeni ogrenmemden dolayi iptal etmek istiyorum iade talebine iliskin destek mail adresine mail gonderdigim halde donus al,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo dan loreena mckennitt konseri icin bilet aldik konser haziran izmir kulturpark ta acil sehir disina cikmam gerektiginden gidemeyecegim gun var konsere bir an once ilgilenilmesini istiyorum konuyla ilgili gerekli postayi attim lutfen yardimci olur musunuz,passo,olumsuz,genel,2,1,1,0,0,0,0,0,1,8
izmir kulturpark acikhava tiyatrosu temmuz tarihli konserine adet bilet aldik fakat bileti aldiktan gun sonra tarihte bir is seyahati gerceklestirecegimiz haberini aldik gidemeyecegimiz icin bilet iptali ucret iadesi talep ettik musteri hizmetleri bize iade olmadigini,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
haziranda bursa gerceklesecek olan aydinlikevler tiyatrosuna aldigim iki kisilik bileti annemin saglik sorunu yuzunden iptal etmek istedigimi haziran cumartesi gunu mail atmama ragmen hala bir donus alamadim gundur mail atip musteri hizmetlerini aramama ragmen iptal edemedim bir cozum,passo,olumsuz,genel,2,1,0,0,0,0,0,1,1,13
passo uygulamasi uzerinden haziran tan konserine bilet aldim kategorilerin hepsini tukendi gosterdigi icin arkadan aldim bugun baktim on kategoriler bos boyle bir durum nasil oluyor biletimi ondekiyle degistirmek istiyorum iptal edemiyorum yapabilirim,passo,olumsuz,uygulama,1,1,0,0,1,0,0,0,1,10
passolig uzerinden etkinlik icin bilet aldim sehir olarak kibris tan almisim yanlis etkinlik yanlis sehir ben kibris ta yasamiyorum degisiklik yapamiyorum cunku alacagim etkinlik passolig uzerinden satilmiyor islem menusu provizyonda gozukuyor etkinlik vip bi,passo; passolig,olumsuz,diger,1,1,0,0,0,0,0,0,1,1
maalesef once passo dan bilet aldim sifremi yeniledigim halde mail adresini yaziyorum yeni sifre icin kabul ediyor mail adresini yazip sifre yazdigimda hesabima girecegim halde gecersiz format yaziyor mail adresine hesabima giris yapamiyorum duzeltilmesini arz ederim,passo,olumsuz,genel,1,0,0,0,1,0,0,0,1,4
haziran tan tasci konser bileti aldim ancak sehir disinda olacagim bileti aldiktan sonra bunu fark ettim musteri hizmetlerindeki hanimefendi eger olum saglik problemi olursa bilet iptalinin mumkun oldugunu soyledi bileti iptal etmem icin illa sagligim ilgili bir problem mi olmasi,passo,olumsuz,genel,1,1,1,0,0,0,0,0,1,8
haziran izmir kulturpark konserine bilet aldim ancak haziran kardesimin mezuniyeti sebebiyle izmir olamayacagim passo dan aldigim biletleri iptal etmek istiyorum henuz gun var kimsenin magdur olmamasi adina bilet ucret iadesini talep ediyorum cok tesekkurler,passo,olumsuz,genel,1,1,0,0,0,0,0,0,1,1
passo com tr den kasabasi oyunu icin kisilik bilet aliminda yanlislik olmasi nedeni iptal gerceklestirdim iki bilet alimini iptal ettikten sonra alim yaptim bunu kullandim iade yapilmasi gerekiyor iken tek iade islemi yapildi mayis musteri hizmetlerini,passo,olumsuz,genel,1,1,1,1,0,0,0,0,1,29
hesabima giris yapmaya calistigimda boyle bir sorunla karsilasiyorum soruna bir care bulun konser mac yerlere gidemiyorum surekli hata veriyor musteri hizmetlerine baglandigimda bir sonuc alamadim soruna cozum care bulun lutfen,passo,olumsuz,genel,2,1,1,0,1,0,0,0,1,30
mayista konseri icin bilet aldim gun cenazemiz oldugundan oturu konsere katilamadik biletin iadesi icin iletisime gectigimiz zaman iade yapilamayacagi soylendi iade yapilamamak nedir almadigim bir hizmet icin iade talebi olusturmak musterinin dogal hakkidir,passo,olumsuz,odeme,1,1,0,1,0,0,0,0,1,9
merhabalar te ataturk kultur merkezi nde yapilacak olan tekfen filarmoni orkestrasi etkinligi icin passo eczacibasi genc bilet alani bos gozukuyor fakat satin alim kisminda bos yer kalmadi hatasi veriyor tum etkinlikler icin baktim icin ayni hatayi veriyor,passo,olumsuz,diger,1,1,0,0,1,0,0,0,1,10
passo uygulamasindan tan konserine bilet aldim aldiktan iki gun sonra sehir disinda isim cikti konsere gidemeyecegim icin mail attim bilet iptali icin fakat gunler olmasina ragmen bilet iptali yapamayacaklarini belirten bir mail attilar sonucta ben iki gun kala iptal etmiyorum destek olma,passo,olumsuz,genel,1,1,1,0,0,0,0,0,1,8
passo hesabimdan haziran istanbul konseri icin bilet aldim esimin kucuk bir kaza gecirmesi sonucunda ayaginda catlaklar var konsere sekilde katilamayacagindan dolayi biletimi iptal edip ucretinin iade edilmesini talep ediyorum fakat iptal icin hicbir yer bulamadim magduriye,passo,olumsuz,genel,2,1,0,1,0,0,0,0,1,9
tupras stadyumu ndaki yalin konserinde kategori olarak pahali biletlerden olan tl ye bilet aldik oturdugumuzda sok yasadik sahnenin tamami sahaya kurulan kulenin altindaki hoparlorler nedeniyle kapaliydi konser baslamadan once yetkili aradik alt kategorilere bile gecsek olur ye,passo,olumsuz,diger,1,1,0,0,0,0,0,0,1,1
passo ay olan etkinligin biletini iptal etmedi eylul tarihli ludovico einaudi konserine bilet aldim yurt disinda yasadigimdan dolayi tarihlerde normalde izinli olmama ragmen is dolayisiyla avusturya olacagimdan konsere katilamayacagim ay olmasina ragmen biletin iptal,passo,olumsuz,genel,1,1,0,0,0,0,0,0,1,1
passo ligden tan tasci konseri icin bilet aldim biletimin olmasina ragmen bilet numarami kabul etmediler konserden faydalanamadim iade icin firmayla iletisime gectigimde kesinlikle yardimci olmadilar ivedilikle ucretimin iadesini istiyorum,passo,olumsuz,genel,2,1,0,1,0,0,0,0,1,9
esimin rahatsizligindan dolayi tan tascinin izmir gerceklesecek konserine katilamayacagim biletimin iptalini istiyorum istenildigi takdirde hastane kayitlarini paylasabilirim destek passo mailinden iletisim kurdum fakat donus alamadim konuda yardimci olunmasini istiyorum hastane acil,passo,olumsuz,genel,2,1,0,1,0,0,0,0,1,9
haziran tarihinde izmir bornova daki tan tasci konseri biletlerimi saglik sorunum sebebiyle iptal etmek istedim gelen cevap ektedir illaki tuketici haklari na basvuracak mi sorunu cozmemiz gerekiyor musteri memnuniyetine verdiginiz onem mudur,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,0,0,0,0,0,1,8
passodan qr kodlu konser bileti aldim konsere gidemeyecegim bileti baskasina vermek istiyorum bilette isim yaziyor aldigim bileti baskasina verebiliyor muyum bileti baskasi kullanabilir mi yardimci olabilirseniz cok sevinirim simdiden tesekkur ederim,passo,notr,diger,0,1,0,0,0,0,0,0,0,1
passo dan haziran tan tasci nin konseri icin tane bilet aldim yasadigimiz saglik sorunlari yuzunden konsere gidemeyecegimizi musteri hizmetlerine soylememe ragmen iptal etmediler iyi sonucta hepimiz insaniz basimiza mutlaka bir sey gelebilir hasta olabiliriz cenazemiz olabilir lutfen,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo fan bileti aldik konseri iptal oldu konser tarihinde idi bugune kadar iade tutarim yatirilmadi zaman yatirmayi dusunuyorlar boyle sacma bir is olamaz kac gun gecti iptal oldugunda gec gun icinde yatirmalari gerekiyor hã¢lã¢ yatirilmadi,passo,olumsuz,odeme,2,1,0,1,0,0,0,0,1,9
passolig uzerinden ibb digital deneyim muzesi icin bilet aldim degisim icin passolig musteri hizmetlerine ulasamadim bildirim gelecekti uygulama uzerinden ancak gelmedi donus icin not biraktim gun oldu hala donus yok biletin degisimini istiyorum defalarca aradim ancak donus yapilmadi,passolig,olumsuz,genel,2,1,1,1,0,1,0,0,1,65
mayis tarihindeki bursa kulturpark acikhava sahnesi ndeki konserine arkadasimin ozel nedenlerinden dolayi etkinlige katilamadik benim aldigim adet biletin iade talebini kibar saygili bir dil mail uzerinden passo destek hattina ulasip ilettim bana donus yaptiklari mai,passo,olumsuz,genel,1,1,1,0,0,0,0,0,1,8
biletim olmasina ragmen iceriye almadilar oyle bir bileklik hazirlamislar kolumu sikti kestim iceriye almadilar isparta live from fest etkinliginde oldu bilete kadar para verdim kombine aldim baslamasi gereken saatten bir saat sonra iceriye aldilar girdigimde bilekligi kestim almad,passo,olumsuz,genel,2,1,0,0,0,0,0,0,1,1
bugun passo sitesinden almis oldugum tan tasci konseri biletlerim oncelikle tarafima pdf olarak saatler gecmis olmasina ragmen iletilmedi ayrica kategori degisikligi yapmak istedigim icin biletlerimin iptalini talep ettim ancak birkac mail atmis olmama ragmen donus yapilmadi yeni biletleri alabilm,passo,olumsuz,genel,2,1,0,0,1,0,0,0,1,10
passo dan online olarak satin aldigim yngwie malmsteen biletimi iptal etmek baskasina devretmek istiyorum referans numarasi olan konuda hicbir bilgi iade secenegi bulamadim konsere gitmekten vazgectim paramin yanmasini istemiyorum bana yardimci olursaniz,passo,olumsuz,genel,1,1,0,1,0,0,0,0,1,9
passo uygulamasindan aldigim mayis tarihindeki scorpions konseri biletlerimi mucbir sebepten oturu iptal iade icin tarihinde yaptigim numarali basvurularim halen cozume kavusturulmadi konser suresine cok bir vakit var acilen konunun cozulmesini iadenin yap,passo,olumsuz,genel,1,1,0,1,0,0,0,0,1,9
passo dan sehven fazla alinan bilet iptal edilmiyor temmuz ayinda olmasina ragmen organizasyonun yer degisikligi bile yapmayip bir ust segmentten bilet alirsiniz diyerek ayni zamanda zorla islem yaptirmaya calisiyorlar fazla alinan bilet hakkinda sikayet kaydi acilmis olup biletin iptal edilm,passo,olumsuz,genel,2,1,1,0,0,0,0,0,1,8
ref no biletimi iptal etmek istedigimde musteri hizmetleri yardimci olmuyor mail uzerinden gorusmemizi soyluyor ancak mail uzerinden yapilan gorusmede kesinlikle iptal gerceklestirilmeyecegi soyleniyor konsere haftadan fazla varken biletlerin satilmama ihtimali yoktur kaldi,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo com dan mayis ta gerceklesecek olan tan tasci konseri icin almis oldugum iki adet biletin yazik iptal edilemeyecegini soylediler ben bir tur rehberiyim normalde mayis ta istanbul oluyordum fakat elimde olmayan sebeplerden dolayi tur tarihim degistirildi benim mayis ta,passo,olumsuz,genel,1,1,0,0,0,0,0,0,1,1
passolig giris yapiyorum bilgilerim dogru olmasina ragmen hata olustu uyarisi aliyorum aylardir magdurum yeter artik uygulama eskisi verimli calismiyor eskiden rahatca bilet alabiliyorduk sorun endise yoktu eger uygulama islevini yitirdiyse hã¢lã¢ var insanlari,passolig,olumsuz,uygulama,2,1,0,0,1,1,0,0,1,38
merhaba passo uygulamasi uzerinden satin aldigim etkinlik biletinde fatura bilgilerine sehven yanlis bilgi tckn girmisim fatura ilgili duzeltme istedigimde destek ekibi talebimi reddediyorlar bir faturanin geriye donuk olarak duzeltilememesinde yasal olarak bir engel yok kesinlikle fatura,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,0,1,1,0,0,1,68
passo firmasindan aldigim biletleri iptal edemiyorum ayni konser baska bir mekanda tl iken firmanin organizasyonunda tam tl resmen insanlari magdur etmektir biletimin iptalini talep ediyorum firmanin bana derhal donus yapmasini durumu aciklamasini bekliyorum,passo,olumsuz,diger,1,1,0,1,0,0,0,0,1,9
giris yapilamiyor bugun konser var indiremiyoruz gidemeyecegiz sabah tan beri deniyorum ancak basarili olamiyorum uygulamaya internet sitesine erisilemiyor tan konseri icin biletlerimiz var aksam nasil girecegiz bilmiyorum sinirlerim bozuldu cagri merkezi yanit vermiyor destek tal,passo,olumsuz,uygulama,2,1,0,0,1,0,0,0,1,10
merhaba diyarbakir konseri icin mayista adet mayista adet olmak uzere toplam bilet aldim ayni sanatcinin farkli gunlerde ard arda konseri oldugu dikkatimi cekmediginden farkli tarihte bilet almis oldum arkadas ayni gun konsere gidemeyecegiz passo cagri mer,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passodan qr kodlu konser bileti aldim konsere gidemeyecegim bileti baskasina vermek istiyorum bilette isim yaziyor aldigim bileti baskasina verebiliyor muyum bileti baskasi kullanabilir mi yardimci olabilirseniz cok sevinirim simdiden tesekkur ederim,passo,notr,diger,0,1,0,0,0,0,0,0,0,1
merhaba passodan qr kodlu konser bileti aldim ancak kullanamayacagim bileti baskasi kullanabilir mi benim yerime uzerinde ismim yaziyor ancak qr kod oldugu icin sorun olacagini sanmiyorum yardimci olursaniz cok sevinirim simdiden cok tesekkur ediyorum kisa zamanda donus yapmanizi bek,passo,notr,diger,0,1,0,0,0,0,0,0,0,1
merhaba konseri icin hafta once mayis tarihli adet bilet aldim passo uygulamasindan konser tarihinin mayisa alindigi gordum mayista musait degilim paramin iadesini istiyorum telefonuma gelen mesaj aldigimda mayis yaziyor tarihte acil donus bekliyorum,passo,olumsuz,genel,2,1,0,0,0,0,0,0,1,1
mayis tan tasci konserine passo dan kategori adet bilet aldik oturma planina dikkat ederek aldik onumuzde koca koca cihazlarin olacagi onceden belirtilmeliydi eger boyle bir durum varsa koltuklari satmayin kategori kategoridekiler biden iyi izledi konseri,passo,olumsuz,diger,1,1,0,0,0,0,0,0,1,1
tarihinde tarihli loreena mckennitt izmir konseri icin bilet aldim alti gun sonra iptal etmek zorunda kaldim iptal edilemedigini soylediler cok anlamsiz alti gun gecmis iade etmiyorlar biletimi bir asla onlardan almayacagim musteri memnuniyeti ben geri iad,passo,olumsuz,genel,2,1,1,0,0,0,0,0,1,8
mayis aksami bilkent odeon sahnesinde icra edilen passo vasitasiyla biletlerini aldigimiz tan tasci konserine gittik sanatcinin siki bir hayrani oldugumuz icin farkli sehirlerde cok sayida konserine istirak ettik ancak dun aksamki kadar kotu bir organizasyona sahit olmamistik dogrusu go,passo,olumsuz,diger,1,0,0,0,0,0,0,1,1,7
passo bilet bilkent odeon sahnesinde mayis itibariyla satin aldigimiz tan konser biletleri icin tl odeme yaptik sahne onu aldigimiz biletler projeksiyonun onunde cikip sahnenin dibinde yer aldi yetkililer elimizde minder oldugunu merdivenlere oturmamiz gerektigini soyledile,passo,olumsuz,diger,1,1,0,0,0,0,0,1,1,13
merhaba passodan qr kodlu konser bileti aldim ancak kullanamayacagim bileti baskasi kullanabilir mi benim yerime uzerinde ismim yaziyor ancak qr kod oldugu icin sorun olacagini sanmiyorum yardimci olursaniz cok sevinirim simdiden tesekkurler,passo,notr,diger,0,1,0,0,0,0,0,0,0,1
merhaba eylul tarihindeki david guetta konserine passo dan bilet aldim satin almamin uzerinden saat dahi gecmeden is durumum nedeniyle iptalini istedim musteri hizmetlerinin iptal edemeyiz yanitini aldim konser tarihine aylarca vakit olmasina ragmen iptalini yapmamak kabul edilebilir degil,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
satin aldigim bileti iptal edememek anlama geliyor hangi yuzyilda nasil bir hizmettir heyecanla aldigim xxiv biletimi iki gun sonra baska bir sehirden yurt disina ucusum olmasi nedeniyle iptal etmem gerekiyor fakat iptal edemiyorum bir asla passo dan bilet almayi dusunmuyor,passo,olumsuz,genel,2,1,0,0,0,0,0,0,1,1
passo uygulamasindan aldigim biletleri aile uyelerimden birine vermek istiyorum bilet benim adima kesili kullanabilirler mi sayet kullanamazlar isim degisikligi yapabilir miyim passo yetkililerine sesleniyorum yardimlarinizi rica ediyorum tesekkurler,passo,notr,diger,0,1,0,0,0,0,0,0,1,1
