text,entity,sentiment,konu,severity,bilet,musteri_hizmetleri,odeme,uygulama,passolig,passolig kart,diger,aksiyon,label,clean_text
passo dan agustos cumartesi harbiye cemil topuzlu acikhava tiyatrosu konserine adet aldim fakat isim geregi gitmem gereken bir durum henuz belli oldu ayni gune denk geliyor musteri temsilcisi iletisim kurdum etkinlik kurallari geregi biletin iptal edilemeyecegini soyledile,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,passo agustos cumartesi harbiye cemil topuzlu acikhava tiyatrosu konserine aldim isim geregi gitmem gereken durum henuz belli ayni gune denk geliyor musteri temsilcisi iletisim kurdum etkinlik kurallari geregi biletin iptal edilemeyecegini soyledile
passo dan agustos cumartesi harbiye cemil topuzlu acikhava tiyatrosu konserine bilet aldim fakat isim geregi gitmem gereken bir durum henuz belli oldu ayni gune denk geliyor musteri temsilcisi iletisim kurdum etkinlik kurallari geregi biletin iptal edilemeyecegini soylediler,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,passo agustos cumartesi harbiye cemil topuzlu acikhava tiyatrosu konserine bilet aldim isim geregi gitmem gereken durum henuz belli ayni gune denk geliyor musteri temsilcisi iletisim kurdum etkinlik kurallari geregi biletin iptal edilemeyecegini soylediler
paso nun musteri hizmetlerini defalarca aramama ragmen herhangi bir donus alamadim bugun konseri vardi iptal oldu bununla ilgili tarafima bir mesaj geldi bir iade ucreti geldi konuyla ilgili bilgi almak istiyorum bilgi alabilecegim kimse yok acil donus bekliyorum,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,1,0,0,0,0,1,29,paso musteri hizmetlerini defalarca aramama ragmen donus alamadim bugun konseri vardi iptal bununla tarafima mesaj geldi iade ucreti geldi konuyla bilgi almak istiyorum bilgi alabilecegim yok acil donus bekliyorum
temmuz carsamba yi persembe ye baglayan gece passolig uzerinden bryan adams konser bileti satin almak istedim kisi yapiyor kart bilgilerini giriyorum bileti satin al diyorum sms gelen sifreyi giriyorum sonrasinda bir hata olustu diyor bileti alamiyorum bunu pes pe,passo; passolig,olumsuz,uygulama,2,1,0,0,1,0,0,0,1,10,temmuz carsamba persembe baglayan gece passolig uzerinden bryan adams konser bileti satin almak istedim kisi yapiyor kart bilgilerini giriyorum bileti satin al diyorum sms gelen sifreyi giriyorum sonrasinda hata olustu diyor bileti alamiyorum pes pe
passo firmasindan almis oldugum konser biletindeki yerimiz dusuk bir kategori onayimiz alinmadan degistirildi bloktan bloga kor noktaya yapici bir cozum sunulmadi bizim yerlerimiz alinip yuksek fiyattan baskalarina satisa acildi,passo,olumsuz,diger,2,1,0,0,0,0,0,1,1,13,passo firmasindan almis oldugum konser biletindeki yerimiz dusuk kategori onayimiz alinmadan degistirildi bloktan bloga kor noktaya yapici cozum sunulmadi yerlerimiz alinip yuksek fiyattan baskalarina satisa acildi
kurumsal bir firma icin toplu bilet alimi yapiyorum farkli firmalardan farkli konserler icin sistemleri parayi ver sonrasi umurlarinda degil defalarca aramama mail atmama ragmen kimsenin dondugu yok istedigim sadece fatura nasil bir sistemleri varsa hic memnun kalmadim,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,kurumsal firma icin toplu bilet alimi yapiyorum farkli firmalardan farkli konserler icin sistemleri parayi ver sonrasi umurlarinda degil defalarca aramama mail atmama ragmen kimsenin dondugu yok istedigim fatura nasil sistemleri varsa hic memnun kalmadim
passo uzerinden satin aldigim bileti uzerinden saat gecmeden iptal etmek istiyorum ancak iptal edilemeyecegi soyleniyor sadece ayni etkinligin farkli bir tarihine degisim yapilabilirmis tatil icin kisa sureli geldigim yerde haftalar sonra olacak olan baska bir etkinlige gelemeyecegim icin iptal,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,passo uzerinden satin aldigim bileti uzerinden saat gecmeden iptal etmek istiyorum iptal edilemeyecegi soyleniyor ayni etkinligin farkli tarihine degisim yapilabilirmis tatil icin kisa sureli geldigim yerde haftalar olacak baska etkinlige gelemeyecegim icin iptal
passo adli etkinlik biletleri satis firmasinin instagram sayfasinda duzenledikleri temmuz tarihli konser bileti cekilisinden kazandigimi ilan ettikleri konser biletini iletmeyerek beni oyalayip kandirmalari donus yapmamalari buyuk terbiyesizliktir,passo,olumsuz,diger,2,1,1,0,0,0,0,0,1,8,passo adli etkinlik biletleri satis firmasinin instagram sayfasinda duzenledikleri temmuz tarihli konser bileti cekilisinden kazandigimi ilan ettikleri konser biletini iletmeyerek oyalayip kandirmalari donus yapmamalari buyuk terbiyesizliktir
temmuz konseri icin tane bilet aldik fakat saglik sorunlari nedeniyle katilamayacagimizi musteri temsilcisine soyledik saglik raporu alip bize mail atin dediler yaptik fakat yine sorunumuz cozulmedi bir asla passo yu tercih etmem,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,0,0,0,0,0,1,8,temmuz konseri icin tane bilet aldik saglik sorunlari katilamayacagimizi musteri temsilcisine soyledik saglik raporu alip mail atin dediler yaptik sorunumuz cozulmedi passo tercih etmem
temmuz gunu altinoluk amfi tiyatro dolu kadehi ters tut grubu icin bilet almak istiyordum fakat grup amfi tiyatro iki kere geliyormus bileti aldiktan sonra yanlis tarihe aldigimi fark ettim yanlis aldigim tarihte burada olmayacagim geri gelme sansim yok kac kere musteri hizmetlerin,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,temmuz gunu altinoluk amfi tiyatro dolu kadehi ters tut grubu icin bilet almak istiyordum grup amfi tiyatro geliyormus bileti aldiktan yanlis tarihe aldigimi fark ettim yanlis aldigim tarihte olmayacagim geri gelme sansim yok kac musteri hizmetlerin
passo dan biletime degisiklik aciga alinma alinma talep ettim ancak hic yardimci olmadilar ben para iadesi talep etmedim yine ayni siteden hatta uzerine para odeyerek bilet alabilecegimi tarihin uymadigini asagidaki aciklamamla ilettim ay oncesinden olan durumumu olumsuz yanitliyorlar,passo,olumsuz,cagri merkezi yetkinlik,1,0,1,0,0,0,0,0,1,2,passo biletime degisiklik aciga alinma alinma talep ettim hic yardimci olmadilar para iadesi talep etmedim ayni siteden uzerine para odeyerek bilet alabilecegimi tarihin uymadigini asagidaki aciklamamla ilettim oncesinden durumumu olumsuz yanitliyorlar
sayin yetkili ben emre temmuz sali tarihinde sizden aldigim bilet icin odedigim hizmet ucreti hakkinda bir sikayetim var soz konusu bilet icin odedigim hizmet ucreti olan tl adet basina fiyatlandirmanin dogru olmadigini ilgililerinizin kontrolunu saglamanizi tarafima adet bilette ci,passo,olumsuz,diger,1,0,1,0,0,0,0,1,1,18,sayin yetkili emre temmuz sali tarihinde aldigim bilet icin odedigim hizmet ucreti hakkinda sikayetim soz konusu bilet icin odedigim hizmet ucreti basina fiyatlandirmanin dogru olmadigini ilgililerinizin kontrolunu saglamanizi tarafima bilette ci
passo uygulamasindan kisilik bilet aldim tan tasci konseri icin isim geregi gidemedigim icin iptal edemiyorum magduriyet disinda hicbir cozum yaratilmiyor musteri temsilcisine zar zor ulasabiliyorum cozumu icin hicbir sekilde yardimci olmadilar,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,0,0,0,0,0,1,8,passo uygulamasindan kisilik bilet aldim tasci konseri icin isim geregi gidemedigim icin iptal edemiyorum magduriyet disinda hicbir cozum yaratilmiyor musteri temsilcisine zar zor ulasabiliyorum cozumu icin hicbir sekilde yardimci olmadilar
passo dan eylul cumartesi gunune sahne onu biletim var tarihi eylule degistirmek istedim tarih degisikligi yapilabildigi yaziyor sistemlerinde bem mail attim degisiklik talebi icin fakat satis son islemdir mail attilar bilet tarihimi degistirmek istiyorum yardimci olun lutfen,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,passo eylul cumartesi gunune sahne biletim tarihi eylule degistirmek istedim tarih degisikligi yapilabildigi yaziyor sistemlerinde bem mail attim degisiklik talebi icin satis son islemdir mail attilar bilet tarihimi degistirmek istiyorum yardimci olun lutfen
passo dan khatia bunutishvili nin haziran te verecegi konser icin ref no lu bilet aldim ancak konserden bir gun once konserin haziran ertelendigi tarih degisikligi nedeniyle biletlerini iade etmek isteyenlerin haziran kadar passo hesaplarindan etkinlik biletlerim,passo,olumsuz,diger,1,1,0,0,1,0,0,0,1,10,passo khatia bunutishvili haziran verecegi konser icin ref no bilet aldim konserden gun once konserin haziran ertelendigi tarih degisikligi biletlerini iade etmek isteyenlerin haziran passo hesaplarindan etkinlik biletlerim
passodan teoman konserine bilet aldim marmaris temmuz isle alakali bir durum oldugundan dolayi iptal etmek istiyorum internetten aldim azindan bir arkadasima mail yoluyla gondermek istiyorum girecek eger iptal olmazsa bunun hakkinda hicbir bilgi yok mail attim passoya geri donen,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,passodan teoman konserine bilet aldim marmaris temmuz isle alakali durum oldugundan dolayi iptal etmek istiyorum internetten aldim azindan arkadasima mail gondermek istiyorum girecek eger iptal olmazsa hakkinda hicbir bilgi yok mail attim passoya geri donen
ref bodrum tarih tarihli konserine kisilik bilet aldim ayni siradan aldigimi dusunurken farkli siralardan verilmis biletin iptalini talep etmeme ragmen kabul edilmedi etkinlige yaklasik ay uzun bir sure varken tum yerlerde iptal iade cayma hakki,passo,olumsuz,genel,1,1,1,0,0,0,0,0,1,8,ref bodrum tarih tarihli konserine kisilik bilet aldim ayni siradan aldigimi dusunurken farkli siralardan verilmis biletin iptalini talep etmeme ragmen kabul edilmedi etkinlige yaklasik uzun sure varken tum yerlerde iptal iade cayma hakki
merhabalar passo uygulamasindan tarihine marmaris amfi tiyatroda tan tasci konserine bilet aldim fakat iade yapilmayacagi bilgisi mevcut esimin isi geregi yurt disina cikmak zorunda kalacagiz bilet benim adima baska birine satamiyorum yazik verilen paralar mevla deg,passo,olumsuz,genel,2,1,0,0,0,0,0,1,1,13,merhabalar passo uygulamasindan tarihine marmaris amfi tiyatroda tasci konserine bilet aldim iade yapilmayacagi bilgisi mevcut esimin isi geregi yurt disina cikmak zorunda kalacagiz bilet adima baska birine satamiyorum yazik verilen paralar mevla deg
passo uzerinden haziran tarihindeki zara konserine iki bilet aldim islerim nedeniyle konsere gitmem mumkun degil iade icin mail attim kesinlikle iade edemeyiz donus yapmislar boyle bir sacmalik var organizasyon iade ederken passo etmiyor,passo,olumsuz,genel,2,1,0,0,0,0,0,1,1,13,passo uzerinden haziran tarihindeki zara konserine bilet aldim islerim konsere gitmem mumkun degil iade icin mail attim kesinlikle iade edemeyiz donus yapmislar boyle sacmalik organizasyon iade ederken passo etmiyor
passo etkinlik bilet fiyatini gun once yari yariya dusurup alinan yuksek bilet fiyat satislarina indirimi uygulamamasi passo temmuz antalya acik hava tiyatrosu konseri icin aldigim biletlerin fiyatini kisibasi tl den tl ye dusurdu musteri hizmetleri iptal iade,passo,olumsuz,genel,2,1,1,0,1,0,0,0,1,30,passo etkinlik bilet fiyatini gun once yari yariya dusurup alinan yuksek bilet fiyat satislarina indirimi uygulamamasi passo temmuz antalya acik hava tiyatrosu konseri icin aldigim biletlerin fiyatini kisibasi dusurdu musteri hizmetleri iptal iade
tarihinde dun tatil programi unutularak satin alinmis tarihli harbiye cemil topuzlu acik hava tiyatrosu ndaki kisilik etkinlik biletimizi kullanamayacagiz tatil programimiz nedeniyle kullanamayacagimiz biletlerin iptal iadesini numarali destek hattinizd,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,tarihinde dun tatil programi unutularak satin alinmis tarihli harbiye cemil topuzlu acik hava tiyatrosu ndaki kisilik etkinlik biletimizi kullanamayacagiz tatil programimiz kullanamayacagimiz biletlerin iptal iadesini numarali destek hattinizd
passo uygulamasindan manga konser bileti alimi gerceklestirdim ancak ilerleyen gunlerde tarihte isim dolayisiyla sehir disinda olacagimi ogrendim iade ricasinda bulundugum maile bunun mumkun olmadigini belirten bir geri donus yapildi konsere hafta var anlayis destek bekliyorum,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,passo uygulamasindan manga konser bileti alimi gerceklestirdim ilerleyen gunlerde tarihte isim dolayisiyla sehir disinda olacagimi ogrendim iade ricasinda bulundugum maile mumkun olmadigini belirten geri donus yapildi konsere hafta anlayis destek bekliyorum
temmuz tarihli vapurda caz etkinligi icin passo sitesinden eczacibasi genc bileti almak istiyorum defalarca denememe ragmen uygun koltuk bulunamadi uyarisi aliyorum aslinda biletin tukendigine dair bir on uyari yok diger iksv caz konserlerinden bazilarinda eczacibasi genc bileti,passo,olumsuz,diger,1,1,0,0,0,0,0,0,1,1,temmuz tarihli vapurda caz etkinligi icin passo sitesinden eczacibasi genc bileti almak istiyorum defalarca denememe ragmen uygun koltuk bulunamadi uyarisi aliyorum aslinda biletin tukendigine uyari yok diger iksv caz konserlerinden bazilarinda eczacibasi genc bileti
merhabalar adresine gonderdigim maile donus yapilmadi sadece aldigim biletteki koltuk numaralarini degistirmek istemistim temmuzda konser var bir an once donus yapilmasini istiyorum konser biletini annem icin almistim cok sevdigi bir sanatci geliyor magduriyetimin hemen co,passo,olumsuz,cagri merkezi yetkinlik,2,1,1,0,0,0,0,0,1,8,merhabalar adresine gonderdigim maile donus yapilmadi aldigim biletteki koltuk numaralarini degistirmek istemistim temmuzda konser an once donus yapilmasini istiyorum konser biletini annem icin almistim cok sevdigi sanatci geliyor magduriyetimin hemen co
passo dan bilet aldim ayni gun iptal etmek istedim iptal iade hakkim olmadigi soylendi seyin iade edilebildigi gunumuzde bileti iptal edemiyorum tuketici mahkemesi cimer vs gerekiyorsa seyi yapip isin pesini birakmayacagim,passo,olumsuz,genel,2,1,0,0,0,0,0,0,1,1,passo bilet aldim ayni gun iptal etmek istedim iptal iade hakkim olmadigi soylendi seyin iade edilebildigi gunumuzde bileti iptal edemiyorum tuketici mahkemesi cimer gerekiyorsa seyi yapip isin pesini birakmayacagim
passo uzerinden haziran tarihindeki oscar and the wolf konseri icin satin aldigim bileti haftalik riskli bir hamilelik gecirdigimden riskli hamileligimi yeni ogrenmemden dolayi iptal etmek istiyorum iade talebine iliskin destek mail adresine mail gonderdigim halde donus al,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,passo uzerinden haziran tarihindeki oscar and the wolf konseri icin satin aldigim bileti haftalik riskli hamilelik gecirdigimden riskli hamileligimi yeni ogrenmemden dolayi iptal etmek istiyorum iade talebine iliskin destek mail adresine mail gonderdigim donus al
passo dan loreena mckennitt konseri icin bilet aldik konser haziran izmir kulturpark ta acil sehir disina cikmam gerektiginden gidemeyecegim gun var konsere bir an once ilgilenilmesini istiyorum konuyla ilgili gerekli postayi attim lutfen yardimci olur musunuz,passo,olumsuz,genel,2,1,1,0,0,0,0,0,1,8,passo loreena mckennitt konseri icin bilet aldik konser haziran izmir kulturpark acil sehir disina cikmam gerektiginden gidemeyecegim gun konsere an once ilgilenilmesini istiyorum konuyla gerekli postayi attim lutfen yardimci musunuz
izmir kulturpark acikhava tiyatrosu temmuz tarihli konserine adet bilet aldik fakat bileti aldiktan gun sonra tarihte bir is seyahati gerceklestirecegimiz haberini aldik gidemeyecegimiz icin bilet iptali ucret iadesi talep ettik musteri hizmetleri bize iade olmadigini,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8,izmir kulturpark acikhava tiyatrosu temmuz tarihli konserine bilet aldik bileti aldiktan gun tarihte is seyahati gerceklestirecegimiz haberini aldik gidemeyecegimiz icin bilet iptali ucret iadesi talep ettik musteri hizmetleri iade olmadigini
haziranda bursa gerceklesecek olan aydinlikevler tiyatrosuna aldigim iki kisilik bileti annemin saglik sorunu yuzunden iptal etmek istedigimi haziran cumartesi gunu mail atmama ragmen hala bir donus alamadim gundur mail atip musteri hizmetlerini aramama ragmen iptal edemedim bir cozum,passo,olumsuz,genel,2,1,0,0,0,0,0,1,1,13,haziranda bursa gerceklesecek aydinlikevler tiyatrosuna aldigim kisilik bileti annemin saglik sorunu yuzunden iptal etmek istedigimi haziran cumartesi gunu mail atmama ragmen donus alamadim gundur mail atip musteri hizmetlerini aramama ragmen iptal edemedim cozum
passo uygulamasi uzerinden haziran tan konserine bilet aldim kategorilerin hepsini tukendi gosterdigi icin arkadan aldim bugun baktim on kategoriler bos boyle bir durum nasil oluyor biletimi ondekiyle degistirmek istiyorum iptal edemiyorum yapabilirim,passo,olumsuz,uygulama,1,1,0,0,1,0,0,0,1,10,passo uygulamasi uzerinden haziran konserine bilet aldim kategorilerin hepsini tukendi gosterdigi icin arkadan aldim bugun baktim kategoriler bos boyle durum nasil biletimi ondekiyle degistirmek istiyorum iptal edemiyorum yapabilirim
passolig uzerinden etkinlik icin bilet aldim sehir olarak kibris tan almisim yanlis etkinlik yanlis sehir ben kibris ta yasamiyorum degisiklik yapamiyorum cunku alacagim etkinlik passolig uzerinden satilmiyor islem menusu provizyonda gozukuyor etkinlik vip bi,passo; passolig,olumsuz,diger,1,1,0,0,0,0,0,0,1,1,passolig uzerinden etkinlik icin bilet aldim sehir kibris almisim yanlis etkinlik yanlis sehir kibris yasamiyorum degisiklik yapamiyorum cunku alacagim etkinlik passolig uzerinden satilmiyor islem menusu provizyonda gozukuyor etkinlik vip bi
maalesef once passo dan bilet aldim sifremi yeniledigim halde mail adresini yaziyorum yeni sifre icin kabul ediyor mail adresini yazip sifre yazdigimda hesabima girecegim halde gecersiz format yaziyor mail adresine hesabima giris yapamiyorum duzeltilmesini arz ederim,passo,olumsuz,genel,1,0,0,0,1,0,0,0,1,4,maalesef once passo bilet aldim sifremi yeniledigim mail adresini yaziyorum yeni sifre icin kabul mail adresini yazip sifre yazdigimda hesabima girecegim gecersiz format yaziyor mail adresine hesabima giris yapamiyorum duzeltilmesini arz ederim
haziran tan tasci konser bileti aldim ancak sehir disinda olacagim bileti aldiktan sonra bunu fark ettim musteri hizmetlerindeki hanimefendi eger olum saglik problemi olursa bilet iptalinin mumkun oldugunu soyledi bileti iptal etmem icin illa sagligim ilgili bir problem mi olmasi,passo,olumsuz,genel,1,1,1,0,0,0,0,0,1,8,haziran tasci konser bileti aldim sehir disinda olacagim bileti aldiktan fark ettim musteri hizmetlerindeki hanimefendi eger olum saglik problemi bilet iptalinin mumkun oldugunu soyledi bileti iptal etmem icin sagligim problem olmasi
haziran izmir kulturpark konserine bilet aldim ancak haziran kardesimin mezuniyeti sebebiyle izmir olamayacagim passo dan aldigim biletleri iptal etmek istiyorum henuz gun var kimsenin magdur olmamasi adina bilet ucret iadesini talep ediyorum cok tesekkurler,passo,olumsuz,genel,1,1,0,0,0,0,0,0,1,1,haziran izmir kulturpark konserine bilet aldim haziran kardesimin mezuniyeti sebebiyle izmir olamayacagim passo aldigim biletleri iptal etmek istiyorum henuz gun kimsenin magdur olmamasi adina bilet ucret iadesini talep ediyorum cok tesekkurler
passo com tr den kasabasi oyunu icin kisilik bilet aliminda yanlislik olmasi nedeni iptal gerceklestirdim iki bilet alimini iptal ettikten sonra alim yaptim bunu kullandim iade yapilmasi gerekiyor iken tek iade islemi yapildi mayis musteri hizmetlerini,passo,olumsuz,genel,1,1,1,1,0,0,0,0,1,29,passo kasabasi oyunu icin kisilik bilet aliminda yanlislik olmasi nedeni iptal gerceklestirdim bilet alimini iptal ettikten alim yaptim kullandim iade yapilmasi gerekiyor iade islemi yapildi mayis musteri hizmetlerini
hesabima giris yapmaya calistigimda boyle bir sorunla karsilasiyorum soruna bir care bulun konser mac yerlere gidemiyorum surekli hata veriyor musteri hizmetlerine baglandigimda bir sonuc alamadim soruna cozum care bulun lutfen,passo,olumsuz,genel,2,1,1,0,1,0,0,0,1,30,hesabima giris yapmaya calistigimda boyle sorunla karsilasiyorum soruna care bulun konser mac yerlere gidemiyorum surekli hata veriyor musteri hizmetlerine baglandigimda sonuc alamadim soruna cozum care bulun lutfen
mayista konseri icin bilet aldim gun cenazemiz oldugundan oturu konsere katilamadik biletin iadesi icin iletisime gectigimiz zaman iade yapilamayacagi soylendi iade yapilamamak nedir almadigim bir hizmet icin iade talebi olusturmak musterinin dogal hakkidir,passo,olumsuz,odeme,1,1,0,1,0,0,0,0,1,9,mayista konseri icin bilet aldim gun cenazemiz oldugundan oturu konsere katilamadik biletin iadesi icin iletisime gectigimiz zaman iade yapilamayacagi soylendi iade yapilamamak nedir almadigim hizmet icin iade talebi olusturmak musterinin dogal hakkidir
