text,entity,sentiment,konu,severity,bilet,musteri_hizmetleri,odeme,uygulama,passolig,passolig kart,diger,aksiyon,sentiment_confidence,response
Bu kadar kotu bir passo sistemi gormedim param halen iki ay oldu hesabima iade edilemdi,passo,olumsuz,iade,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9909321069717408,"Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Yaşamış olduğunuz aksaklık için özür dileriz. Sorununuzu çözmek adına aşağıdaki adımları izleyebilirsiniz: Ödeme işleminiz sırasında bir sorun yaşandığını anlıyoruz. Lütfen ödeme yöntemlerinizi kontrol edin ve işlem bilgilerini doğru girdiğinizden emin olun. Eğer sorun devam ederse, alternatif bir ödeme yöntemi deneyebilir veya müşteri hizmetlerimizle iletişime geçebilirsiniz. Bilet işlemlerinizde bir aksaklık olduğunu fark ettik. Lütfen bilet bilgilerinizin doğru olduğunu ve geçerli bir işlem gerçekleştirdiğinizi kontrol edin. Eğer sorununuz devam ederse, bilet işlemlerinizi tekrar gözden geçirmenizi öneriyoruz. Belirtilen şikayet konusu: iade. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır. passo ile ilgili işlemler başlatılmıştır. Tarafınıza bilgilendirme yapılacaktır."
merhaba,,,,,,,,,,,,,,Merhaba! Size nasıl yardımcı olabilirim?
nasilsin,,,,,,,,,,,,,,"Teşekkür ederim, iyiyim. Sizin için ne yapabilirim?"
deneme kodu,No entity found.,notr,genel,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9985700845718384,Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Geri bildiriminiz doğrultusunda süreçlerinizi dikkatle takip ettiğinizi öneriyoruz. Belirtilen şikayet konusu: genel. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır.
merhaba,,,,,,,,,,,,,,Merhaba! Size nasıl yardımcı olabilirim?
nasilsin,,,,,,,,,,,,,,"Teşekkür ederim, iyiyim. Sizin için ne yapabilirim?"
passo para iademi halen gerceklestirmedi neden,passo,olumsuz,odeme,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9445827603340148,"Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Yaşamış olduğunuz aksaklık için özür dileriz. Sorununuzu çözmek adına aşağıdaki adımları izleyebilirsiniz: Ödeme işleminiz sırasında bir sorun yaşandığını anlıyoruz. Lütfen ödeme yöntemlerinizi kontrol edin ve işlem bilgilerini doğru girdiğinizden emin olun. Eğer sorun devam ederse, alternatif bir ödeme yöntemi deneyebilir veya müşteri hizmetlerimizle iletişime geçebilirsiniz. Belirtilen şikayet konusu: odeme. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır. passo ile ilgili işlemler başlatılmıştır. Tarafınıza bilgilendirme yapılacaktır."
tesekkurler,,,,,,,,,,,,,,Rica ederim! Size her zaman yardımcı olmaktan mutluluk duyarım.
merhaba,,,,,,,,,,,,,,Merhaba! Size nasıl yardımcı olabilirim?
nasilsin,,,,,,,,,,,,,,"Teşekkür ederim, iyiyim. Sizin için ne yapabilirim?"
adin ne,,,,,,,,,,,,,,"Ben PassoAssist, Ali Rıza Ercan tarafından geliştirildim. Size nasıl yardımcı olabilirim?"
passo para iademi halen gerceklestirmedi bu konuda acil cozum bekliyorum.,passo,olumsuz,odeme,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9825154542922974,"Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Yaşamış olduğunuz aksaklık için özür dileriz. Sorununuzu çözmek adına aşağıdaki adımları izleyebilirsiniz: Ödeme işleminiz sırasında bir sorun yaşandığını anlıyoruz. Lütfen ödeme yöntemlerinizi kontrol edin ve işlem bilgilerini doğru girdiğinizden emin olun. Eğer sorun devam ederse, alternatif bir ödeme yöntemi deneyebilir veya müşteri hizmetlerimizle iletişime geçebilirsiniz. Belirtilen şikayet konusu: odeme. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır. passo ile ilgili işlemler başlatılmıştır. Tarafınıza bilgilendirme yapılacaktır."
tesekkurler,,,,,,,,,,,,,,Rica ederim! Size her zaman yardımcı olmaktan mutluluk duyarım.
merhaba,,,,,,,,,,,,,,Merhaba! Size nasıl yardımcı olabilirim?
nasilsin,,,,,,,,,,,,,,"Teşekkür ederim, iyiyim. Sizin için ne yapabilirim?"
adin ne,,,,,,,,,,,,,,"Ben PassoAssist, Ali Rıza Ercan tarafından geliştirildim. Size nasıl yardımcı olabilirim?"
passo para iademi halen gerceklestirmedi para iademin acil gerceklesmesini istiyorum,passo,olumsuz,odeme,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9914916157722472,"Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Yaşamış olduğunuz aksaklık için özür dileriz. Sorununuzu çözmek adına aşağıdaki adımları izleyebilirsiniz: Ödeme işleminiz sırasında bir sorun yaşandığını anlıyoruz. Lütfen ödeme yöntemlerinizi kontrol edin ve işlem bilgilerini doğru girdiğinizden emin olun. Eğer sorun devam ederse, alternatif bir ödeme yöntemi deneyebilir veya müşteri hizmetlerimizle iletişime geçebilirsiniz. Belirtilen şikayet konusu: odeme. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır. passo ile ilgili işlemler başlatılmıştır. Tarafınıza bilgilendirme yapılacaktır."
tesekkurler,,,,,,,,,,,,,,Rica ederim! Size her zaman yardımcı olmaktan mutluluk duyarım.
